age,gender,split,final,hours,minutes,seconds,total_minutes
34,"M","01:06:20","02:27:22",2,27,22,147.3667
27,"M","01:12:23","02:27:24",2,27,24,147.4
23,"M","01:13:42","02:27:32",2,27,32,147.5333
37,"M","01:12:10","02:28:08",2,28,8,148.1333
36,"W","01:12:57","02:28:13",2,28,13,148.2167
27,"W","01:13:07","02:28:27",2,28,27,148.45
39,"M","01:12:57","02:28:36",2,28,36,148.6
38,"M","01:13:08","02:28:51",2,28,51,148.85
47,"M","01:15:38","02:28:55",2,28,55,148.9167
36,"W","01:13:00","02:28:56",2,28,56,148.9333
34,"W","01:12:47","02:29:07",2,29,7,149.1167
24,"W","01:13:39","02:29:10",2,29,10,149.1667
38,"M","01:13:30","02:29:12",2,29,12,149.2
35,"M","01:12:52","02:29:15",2,29,15,149.25
35,"M","01:13:51","02:29:35",2,29,35,149.5833
39,"M","01:12:41","02:29:35",2,29,35,149.5833
36,"W","01:13:44","02:29:38",2,29,38,149.6333
33,"M","01:13:40","02:29:52",2,29,52,149.8667
22,"M","01:09:44","02:29:54",2,29,54,149.9
22,"M","01:09:35","02:30:10",2,30,10,150.1667
35,"W","01:14:04","02:30:10",2,30,10,150.1667
32,"M","01:13:37","02:30:12",2,30,12,150.2
33,"M","01:13:00","02:30:20",2,30,20,150.3333
34,"W","01:13:28","02:30:20",2,30,20,150.3333
36,"M","01:14:28","02:30:41",2,30,41,150.6833
31,"W","01:14:39","02:30:45",2,30,45,150.75
23,"W","01:13:42","02:30:46",2,30,46,150.7667
32,"W","01:13:51","02:30:52",2,30,52,150.8667
38,"W","01:14:22","02:30:55",2,30,55,150.9167
31,"M","01:13:13","02:31:01",2,31,1,151.0167
28,"M","01:13:18","02:31:06",2,31,6,151.1
37,"W","01:13:29","02:31:06",2,31,6,151.1
30,"M","01:14:56","02:31:10",2,31,10,151.1667
27,"M","01:13:52","02:31:13",2,31,13,151.2167
34,"M","01:14:07","02:31:18",2,31,18,151.3
44,"M","01:16:36","02:31:18",2,31,18,151.3
31,"M","01:14:40","02:31:34",2,31,34,151.5667
30,"M","01:14:40","02:31:41",2,31,41,151.6833
26,"M","01:12:43","02:31:44",2,31,44,151.7333
29,"M","01:07:09","02:31:49",2,31,49,151.8167
34,"M","01:14:59","02:32:05",2,32,5,152.0833
34,"M","01:13:46","02:32:09",2,32,9,152.15
33,"M","01:13:31","02:32:10",2,32,10,152.1667
29,"M","01:07:27","02:32:12",2,32,12,152.2
24,"M","01:13:16","02:32:15",2,32,15,152.25
28,"M","01:14:04","02:32:15",2,32,15,152.25
32,"M","01:14:27","02:32:18",2,32,18,152.3
33,"M","01:15:59","02:32:27",2,32,27,152.45
25,"M","01:15:16","02:32:35",2,32,35,152.5833
31,"M","01:12:43","02:32:36",2,32,36,152.6
29,"M","01:13:34","02:32:45",2,32,45,152.75
33,"M","01:12:57","02:32:54",2,32,54,152.9
26,"M","01:14:40","02:32:57",2,32,57,152.95
31,"M","01:15:02","02:33:15",2,33,15,153.25
29,"M","01:14:41","02:33:19",2,33,19,153.3167
27,"M","01:15:06","02:33:24",2,33,24,153.4
34,"M","01:14:12","02:33:26",2,33,26,153.4333
44,"M","01:15:40","02:33:30",2,33,30,153.5
36,"M","01:15:37","02:33:37",2,33,37,153.6167
44,"M","01:16:08","02:33:45",2,33,45,153.75
26,"M","01:16:15","02:33:49",2,33,49,153.8167
42,"M","01:15:33","02:33:53",2,33,53,153.8833
36,"M","01:15:17","02:33:56",2,33,56,153.9333
42,"M","01:15:37","02:33:59",2,33,59,153.9833
35,"M","01:15:30","02:34:03",2,34,3,154.05
26,"M","01:12:56","02:34:05",2,34,5,154.0833
26,"M","01:15:19","02:34:06",2,34,6,154.1
35,"W","01:14:29","02:34:11",2,34,11,154.1833
28,"M","01:13:13","02:34:15",2,34,15,154.25
41,"M","01:16:56","02:34:18",2,34,18,154.3
25,"M","01:14:28","02:34:21",2,34,21,154.35
33,"M","01:13:30","02:34:31",2,34,31,154.5167
25,"M","01:13:51","02:34:33",2,34,33,154.55
41,"M","01:15:41","02:34:37",2,34,37,154.6167
36,"M","01:14:58","02:34:40",2,34,40,154.6667
31,"M","01:13:32","02:34:41",2,34,41,154.6833
24,"M","01:15:26","02:34:42",2,34,42,154.7
34,"M","01:15:19","02:34:57",2,34,57,154.95
36,"W","01:15:38","02:34:58",2,34,58,154.9667
23,"M","01:15:09","02:35:01",2,35,1,155.0167
35,"M","01:15:10","02:35:04",2,35,4,155.0667
34,"M","01:14:00","02:35:05",2,35,5,155.0833
34,"W","01:15:24","02:35:10",2,35,10,155.1667
38,"M","01:12:39","02:35:10",2,35,10,155.1667
26,"M","01:15:25","02:35:21",2,35,21,155.35
41,"M","01:17:40","02:35:27",2,35,27,155.45
27,"M","01:16:36","02:35:28",2,35,28,155.4667
36,"W","01:15:19","02:35:28",2,35,28,155.4667
35,"M","01:15:12","02:35:30",2,35,30,155.5
34,"M","01:14:15","02:35:33",2,35,33,155.55
24,"M","01:15:14","02:35:35",2,35,35,155.5833
28,"M","01:15:55","02:35:46",2,35,46,155.7667
28,"M","01:15:25","02:35:55",2,35,55,155.9167
24,"M","01:14:33","02:35:57",2,35,57,155.95
34,"M","01:16:03","02:36:04",2,36,4,156.0667
38,"M","01:15:09","02:36:05",2,36,5,156.0833
31,"M","01:17:28","02:36:08",2,36,8,156.1333
24,"M","01:18:45","02:36:09",2,36,9,156.15
38,"M","01:13:44","02:36:11",2,36,11,156.1833
34,"M","01:17:16","02:36:16",2,36,16,156.2667
32,"M","01:17:28","02:36:19",2,36,19,156.3167
29,"M","01:16:53","02:36:33",2,36,33,156.55
27,"M","01:17:19","02:36:33",2,36,33,156.55
28,"M","01:16:59","02:36:35",2,36,35,156.5833
35,"M","01:15:45","02:36:38",2,36,38,156.6333
30,"M","01:16:33","02:36:42",2,36,42,156.7
31,"M","01:14:55","02:36:42",2,36,42,156.7
29,"M","01:18:40","02:36:42",2,36,42,156.7
33,"M","01:16:46","02:36:43",2,36,43,156.7167
23,"M","01:14:12","02:36:44",2,36,44,156.7333
37,"M","01:16:23","02:36:45",2,36,45,156.75
26,"M","01:18:07","02:36:49",2,36,49,156.8167
24,"M","01:18:47","02:36:50",2,36,50,156.8333
38,"M","01:10:04","02:36:50",2,36,50,156.8333
33,"M","01:15:27","02:37:03",2,37,3,157.05
41,"M","01:18:19","02:37:05",2,37,5,157.0833
26,"M","01:17:46","02:37:05",2,37,5,157.0833
26,"M","01:17:20","02:37:20",2,37,20,157.3333
45,"M","01:16:57","02:37:20",2,37,20,157.3333
30,"M","01:16:27","02:37:23",2,37,23,157.3833
36,"M","01:16:58","02:37:25",2,37,25,157.4167
33,"M","01:13:59","02:37:32",2,37,32,157.5333
33,"M","01:13:06","02:37:45",2,37,45,157.75
35,"M","01:17:31","02:37:53",2,37,53,157.8833
40,"M","01:16:21","02:37:54",2,37,54,157.9
37,"M","01:10:10","02:37:56",2,37,56,157.9333
34,"M","01:19:48","02:38:00",2,38,0,158
32,"M","01:15:30","02:38:01",2,38,1,158.0167
35,"M","01:19:03","02:38:02",2,38,2,158.0333
38,"M","01:17:28","02:38:12",2,38,12,158.2
32,"M","01:12:19","02:38:22",2,38,22,158.3667
40,"M","01:17:41","02:38:29",2,38,29,158.4833
26,"M","01:16:14","02:38:52",2,38,52,158.8667
31,"M","01:17:42","02:38:54",2,38,54,158.9
22,"M","01:19:04","02:38:55",2,38,55,158.9167
46,"M","01:14:53","02:38:59",2,38,59,158.9833
26,"M","01:13:30","02:39:04",2,39,4,159.0667
29,"M","01:20:33","02:39:07",2,39,7,159.1167
28,"M","01:17:48","02:39:08",2,39,8,159.1333
32,"M","01:17:30","02:39:12",2,39,12,159.2
31,"W","01:17:08","02:39:15",2,39,15,159.25
33,"M","01:16:54","02:39:19",2,39,19,159.3167
27,"M","01:19:23","02:39:21",2,39,21,159.35
22,"M","01:17:25","02:39:29",2,39,29,159.4833
30,"M","01:16:47","02:39:36",2,39,36,159.6
37,"M","01:15:40","02:39:44",2,39,44,159.7333
26,"M","01:14:07","02:39:50",2,39,50,159.8333
40,"M","01:18:24","02:39:51",2,39,51,159.85
44,"M","01:16:59","02:39:52",2,39,52,159.8667
23,"M","01:18:46","02:39:56",2,39,56,159.9333
40,"M","01:17:58","02:39:59",2,39,59,159.9833
23,"M","01:18:15","02:39:59",2,39,59,159.9833
40,"M","01:19:28","02:40:01",2,40,1,160.0167
46,"M","01:15:09","02:40:03",2,40,3,160.05
32,"M","01:17:44","02:40:04",2,40,4,160.0667
28,"M","01:21:02","02:40:05",2,40,5,160.0833
27,"M","01:19:37","02:40:07",2,40,7,160.1167
40,"M","01:19:01","02:40:09",2,40,9,160.15
33,"M","01:19:48","02:40:09",2,40,9,160.15
40,"M","01:17:47","02:40:11",2,40,11,160.1833
23,"W","01:20:25","02:40:12",2,40,12,160.2
38,"M","01:19:53","02:40:15",2,40,15,160.25
35,"M","01:18:50","02:40:26",2,40,26,160.4333
30,"M","01:18:52","02:40:31",2,40,31,160.5167
33,"M","01:18:35","02:40:32",2,40,32,160.5333
26,"M","01:16:02","02:40:41",2,40,41,160.6833
24,"M","01:18:35","02:40:47",2,40,47,160.7833
53,"M","01:15:11","02:40:49",2,40,49,160.8167
37,"M","01:17:57","02:40:51",2,40,51,160.85
34,"M","01:17:42","02:40:53",2,40,53,160.8833
31,"M","01:17:57","02:40:56",2,40,56,160.9333
42,"M","01:20:09","02:41:00",2,41,0,161
41,"M","01:19:48","02:41:16",2,41,16,161.2667
35,"W","01:18:19","02:41:16",2,41,16,161.2667
44,"M","01:19:12","02:41:17",2,41,17,161.2833
33,"M","01:14:57","02:41:17",2,41,17,161.2833
36,"M","01:18:39","02:41:25",2,41,25,161.4167
44,"M","01:19:34","02:41:26",2,41,26,161.4333
34,"M","01:18:47","02:41:32",2,41,32,161.5333
39,"M","01:14:44","02:41:33",2,41,33,161.55
30,"M","01:18:28","02:41:36",2,41,36,161.6
40,"M","01:18:15","02:41:59",2,41,59,161.9833
32,"M","01:17:29","02:42:01",2,42,1,162.0167
18,"W","01:18:03","02:42:06",2,42,6,162.1
40,"M","01:17:48","02:42:06",2,42,6,162.1
25,"M","01:19:00","02:42:08",2,42,8,162.1333
31,"M","01:15:20","02:42:10",2,42,10,162.1667
44,"M","01:19:47","02:42:10",2,42,10,162.1667
34,"M","01:20:32","02:42:14",2,42,14,162.2333
42,"M","01:18:48","02:42:14",2,42,14,162.2333
27,"M","01:17:49","02:42:15",2,42,15,162.25
36,"M","01:20:06","02:42:19",2,42,19,162.3167
27,"W","01:22:19","02:42:23",2,42,23,162.3833
27,"M","01:17:49","02:42:27",2,42,27,162.45
27,"M","01:22:18","02:42:27",2,42,27,162.45
40,"M","01:20:40","02:42:33",2,42,33,162.55
35,"M","01:20:04","02:42:34",2,42,34,162.5667
35,"M","01:18:06","02:42:35",2,42,35,162.5833
32,"M","01:25:19","02:42:35",2,42,35,162.5833
25,"M","01:20:04","02:42:36",2,42,36,162.6
38,"M","01:16:24","02:42:37",2,42,37,162.6167
24,"M","01:16:21","02:42:38",2,42,38,162.6333
29,"M","01:20:31","02:42:39",2,42,39,162.65
30,"M","01:18:09","02:42:41",2,42,41,162.6833
27,"M","01:19:50","02:42:42",2,42,42,162.7
25,"M","01:20:50","02:42:42",2,42,42,162.7
40,"M","01:18:42","02:42:44",2,42,44,162.7333
36,"M","01:21:25","02:42:46",2,42,46,162.7667
33,"M","01:21:50","02:42:48",2,42,48,162.8
38,"M","01:19:13","02:42:50",2,42,50,162.8333
38,"M","01:17:13","02:42:51",2,42,51,162.85
41,"M","01:19:56","02:42:54",2,42,54,162.9
29,"M","01:20:18","02:43:00",2,43,0,163
57,"M","01:19:05","02:43:06",2,43,6,163.1
44,"M","01:20:23","02:43:17",2,43,17,163.2833
27,"M","01:15:19","02:43:18",2,43,18,163.3
52,"M","01:20:44","02:43:25",2,43,25,163.4167
44,"M","01:20:41","02:43:30",2,43,30,163.5
40,"M","01:20:31","02:43:30",2,43,30,163.5
36,"M","01:20:03","02:43:32",2,43,32,163.5333
32,"M","01:20:34","02:43:34",2,43,34,163.5667
33,"M","01:18:50","02:43:34",2,43,34,163.5667
27,"W","01:21:03","02:43:36",2,43,36,163.6
52,"M","01:19:26","02:43:37",2,43,37,163.6167
30,"M","01:18:37","02:43:38",2,43,38,163.6333
33,"W","01:18:51","02:43:40",2,43,40,163.6667
41,"M","01:19:07","02:43:40",2,43,40,163.6667
29,"M","01:19:48","02:43:41",2,43,41,163.6833
35,"M","01:19:17","02:43:41",2,43,41,163.6833
27,"M","01:18:22","02:43:43",2,43,43,163.7167
29,"W","01:20:48","02:43:43",2,43,43,163.7167
45,"M","01:18:03","02:43:48",2,43,48,163.8
32,"M","01:20:25","02:43:49",2,43,49,163.8167
49,"M","01:20:02","02:43:55",2,43,55,163.9167
34,"M","01:19:42","02:43:57",2,43,57,163.95
31,"M","01:17:36","02:44:03",2,44,3,164.05
39,"M","01:18:57","02:44:06",2,44,6,164.1
28,"M","01:18:41","02:44:10",2,44,10,164.1667
24,"M","01:19:01","02:44:10",2,44,10,164.1667
50,"M","01:19:53","02:44:13",2,44,13,164.2167
25,"M","01:20:28","02:44:16",2,44,16,164.2667
30,"M","01:17:20","02:44:16",2,44,16,164.2667
33,"M","01:18:15","02:44:21",2,44,21,164.35
29,"M","01:21:31","02:44:22",2,44,22,164.3667
48,"M","01:19:56","02:44:23",2,44,23,164.3833
24,"M","01:15:31","02:44:29",2,44,29,164.4833
28,"M","01:19:05","02:44:34",2,44,34,164.5667
34,"M","01:18:30","02:44:36",2,44,36,164.6
24,"M","01:20:09","02:44:44",2,44,44,164.7333
42,"M","01:20:31","02:44:47",2,44,47,164.7833
24,"M","01:18:49","02:44:48",2,44,48,164.8
33,"M","01:21:02","02:44:51",2,44,51,164.85
24,"M","01:20:44","02:44:56",2,44,56,164.9333
44,"M","01:22:46","02:45:00",2,45,0,165
32,"M","01:18:16","02:45:02",2,45,2,165.0333
30,"W","01:20:55","02:45:02",2,45,2,165.0333
37,"M","01:18:08","02:45:04",2,45,4,165.0667
32,"M","01:18:44","02:45:08",2,45,8,165.1333
31,"M","01:23:44","02:45:13",2,45,13,165.2167
45,"M","01:21:13","02:45:14",2,45,14,165.2333
27,"M","01:18:08","02:45:19",2,45,19,165.3167
27,"M","01:22:22","02:45:23",2,45,23,165.3833
27,"M","01:18:26","02:45:24",2,45,24,165.4
25,"M","01:18:01","02:45:25",2,45,25,165.4167
49,"M","01:20:34","02:45:25",2,45,25,165.4167
37,"M","01:19:36","02:45:27",2,45,27,165.45
39,"M","01:22:49","02:45:28",2,45,28,165.4667
31,"M","01:19:50","02:45:35",2,45,35,165.5833
32,"M","01:20:15","02:45:36",2,45,36,165.6
40,"M","01:19:07","02:45:41",2,45,41,165.6833
31,"M","01:18:47","02:45:41",2,45,41,165.6833
35,"M","01:20:56","02:45:42",2,45,42,165.7
36,"M","01:22:05","02:45:45",2,45,45,165.75
39,"M","01:22:37","02:45:46",2,45,46,165.7667
34,"M","01:20:08","02:45:50",2,45,50,165.8333
41,"M","01:20:12","02:45:54",2,45,54,165.9
22,"M","01:15:58","02:45:54",2,45,54,165.9
39,"M","01:20:40","02:45:56",2,45,56,165.9333
43,"M","01:18:11","02:45:56",2,45,56,165.9333
31,"M","01:22:00","02:45:57",2,45,57,165.95
32,"M","01:15:20","02:45:58",2,45,58,165.9667
38,"M","01:19:30","02:45:59",2,45,59,165.9833
28,"M","01:20:14","02:46:00",2,46,0,166
31,"M","01:21:43","02:46:00",2,46,0,166
29,"M","01:15:47","02:46:00",2,46,0,166
39,"M","01:19:16","02:46:12",2,46,12,166.2
36,"M","01:17:41","02:46:13",2,46,13,166.2167
31,"M","01:20:34","02:46:20",2,46,20,166.3333
33,"M","01:21:13","02:46:20",2,46,20,166.3333
36,"M","01:22:47","02:46:26",2,46,26,166.4333
41,"M","01:21:43","02:46:34",2,46,34,166.5667
43,"M","01:20:14","02:46:36",2,46,36,166.6
35,"M","01:20:38","02:46:38",2,46,38,166.6333
39,"W","01:21:00","02:46:46",2,46,46,166.7667
32,"M","01:17:37","02:46:47",2,46,47,166.7833
23,"M","01:13:40","02:46:47",2,46,47,166.7833
30,"W","01:21:29","02:46:48",2,46,48,166.8
31,"M","01:23:43","02:46:48",2,46,48,166.8
23,"W","01:20:48","02:46:50",2,46,50,166.8333
49,"M","01:22:17","02:46:51",2,46,51,166.85
36,"M","01:21:55","02:46:51",2,46,51,166.85
41,"M","01:18:34","02:46:52",2,46,52,166.8667
42,"M","01:21:43","02:47:00",2,47,0,167
38,"M","01:22:23","02:47:00",2,47,0,167
38,"M","01:24:03","02:47:06",2,47,6,167.1
32,"M","01:17:41","02:47:14",2,47,14,167.2333
27,"M","01:21:40","02:47:16",2,47,16,167.2667
46,"M","01:20:30","02:47:22",2,47,22,167.3667
41,"M","01:14:49","02:47:22",2,47,22,167.3667
39,"M","01:22:40","02:47:25",2,47,25,167.4167
40,"M","01:19:21","02:47:25",2,47,25,167.4167
30,"M","01:21:36","02:47:28",2,47,28,167.4667
25,"M","01:20:23","02:47:28",2,47,28,167.4667
28,"M","01:23:24","02:47:31",2,47,31,167.5167
27,"M","01:22:10","02:47:33",2,47,33,167.55
27,"M","01:14:52","02:47:34",2,47,34,167.5667
37,"M","01:22:00","02:47:36",2,47,36,167.6
45,"M","01:22:52","02:47:37",2,47,37,167.6167
41,"M","01:22:03","02:47:37",2,47,37,167.6167
37,"M","01:18:08","02:47:37",2,47,37,167.6167
29,"M","01:21:30","02:47:39",2,47,39,167.65
35,"M","01:22:21","02:47:40",2,47,40,167.6667
40,"M","01:20:31","02:47:42",2,47,42,167.7
37,"M","01:18:52","02:47:44",2,47,44,167.7333
39,"W","01:20:53","02:47:45",2,47,45,167.75
44,"M","01:23:37","02:47:48",2,47,48,167.8
37,"M","01:19:19","02:47:49",2,47,49,167.8167
26,"M","01:24:09","02:47:50",2,47,50,167.8333
44,"M","01:25:37","02:47:51",2,47,51,167.85
33,"M","01:20:43","02:47:51",2,47,51,167.85
31,"M","01:23:08","02:47:52",2,47,52,167.8667
26,"M","01:24:51","02:47:59",2,47,59,167.9833
37,"M","01:21:28","02:48:02",2,48,2,168.0333
47,"M","01:23:27","02:48:03",2,48,3,168.05
29,"M","01:21:20","02:48:06",2,48,6,168.1
45,"M","01:23:08","02:48:07",2,48,7,168.1167
40,"M","01:21:50","02:48:08",2,48,8,168.1333
26,"M","01:21:57","02:48:09",2,48,9,168.15
29,"M","01:19:03","02:48:10",2,48,10,168.1667
47,"M","01:23:24","02:48:11",2,48,11,168.1833
32,"M","01:22:17","02:48:18",2,48,18,168.3
40,"M","01:22:19","02:48:18",2,48,18,168.3
40,"M","01:21:58","02:48:18",2,48,18,168.3
39,"M","01:19:58","02:48:20",2,48,20,168.3333
28,"M","01:23:22","02:48:21",2,48,21,168.35
34,"M","01:17:36","02:48:24",2,48,24,168.4
38,"M","01:21:00","02:48:26",2,48,26,168.4333
33,"M","01:20:37","02:48:26",2,48,26,168.4333
56,"M","01:21:13","02:48:30",2,48,30,168.5
44,"M","01:22:10","02:48:31",2,48,31,168.5167
31,"M","01:14:35","02:48:31",2,48,31,168.5167
34,"M","01:25:35","02:48:34",2,48,34,168.5667
43,"M","01:24:12","02:48:37",2,48,37,168.6167
24,"M","01:21:09","02:48:42",2,48,42,168.7
36,"M","01:22:26","02:48:44",2,48,44,168.7333
26,"M","01:17:09","02:48:45",2,48,45,168.75
45,"M","01:24:57","02:48:47",2,48,47,168.7833
45,"M","01:23:34","02:48:48",2,48,48,168.8
25,"M","01:25:44","02:48:56",2,48,56,168.9333
28,"M","01:18:38","02:48:58",2,48,58,168.9667
35,"M","01:24:00","02:48:58",2,48,58,168.9667
35,"M","01:22:50","02:49:00",2,49,0,169
38,"M","01:15:49","02:49:00",2,49,0,169
24,"M","01:22:35","02:49:02",2,49,2,169.0333
37,"M","01:22:03","02:49:02",2,49,2,169.0333
40,"M","01:22:38","02:49:02",2,49,2,169.0333
36,"M","01:20:26","02:49:03",2,49,3,169.05
40,"M","01:22:57","02:49:07",2,49,7,169.1167
34,"M","01:23:34","02:49:09",2,49,9,169.15
30,"M","01:23:59","02:49:10",2,49,10,169.1667
33,"M","01:23:29","02:49:10",2,49,10,169.1667
41,"M","01:19:02","02:49:12",2,49,12,169.2
44,"M","01:21:01","02:49:13",2,49,13,169.2167
57,"M","01:21:57","02:49:16",2,49,16,169.2667
36,"M","01:21:47","02:49:20",2,49,20,169.3333
27,"M","01:22:31","02:49:23",2,49,23,169.3833
30,"M","01:20:14","02:49:27",2,49,27,169.45
28,"W","01:22:12","02:49:29",2,49,29,169.4833
48,"M","01:22:56","02:49:29",2,49,29,169.4833
37,"M","01:17:03","02:49:31",2,49,31,169.5167
45,"M","01:22:27","02:49:31",2,49,31,169.5167
21,"M","01:23:40","02:49:34",2,49,34,169.5667
32,"M","01:22:22","02:49:34",2,49,34,169.5667
49,"M","01:22:00","02:49:36",2,49,36,169.6
27,"M","01:24:32","02:49:36",2,49,36,169.6
22,"M","01:20:35","02:49:37",2,49,37,169.6167
28,"M","01:22:16","02:49:40",2,49,40,169.6667
25,"W","01:18:00","02:49:41",2,49,41,169.6833
40,"M","01:23:23","02:49:46",2,49,46,169.7667
43,"M","01:21:41","02:49:48",2,49,48,169.8
52,"M","01:23:05","02:49:49",2,49,49,169.8167
23,"M","01:15:55","02:49:50",2,49,50,169.8333
41,"M","01:19:34","02:49:51",2,49,51,169.85
41,"M","01:24:05","02:49:51",2,49,51,169.85
51,"M","01:23:47","02:49:58",2,49,58,169.9667
37,"M","01:24:22","02:49:58",2,49,58,169.9667
34,"M","01:22:07","02:49:58",2,49,58,169.9667
47,"M","01:24:50","02:50:04",2,50,4,170.0667
49,"M","01:22:00","02:50:06",2,50,6,170.1
41,"M","01:23:36","02:50:08",2,50,8,170.1333
37,"M","01:19:50","02:50:09",2,50,9,170.15
38,"M","01:20:59","02:50:10",2,50,10,170.1667
30,"M","01:22:46","02:50:11",2,50,11,170.1833
43,"M","01:21:30","02:50:14",2,50,14,170.2333
46,"M","01:24:00","02:50:14",2,50,14,170.2333
42,"M","01:21:24","02:50:16",2,50,16,170.2667
37,"M","01:18:27","02:50:17",2,50,17,170.2833
51,"M","01:24:10","02:50:19",2,50,19,170.3167
37,"M","01:21:06","02:50:20",2,50,20,170.3333
24,"M","01:23:52","02:50:21",2,50,21,170.35
49,"M","01:22:50","02:50:22",2,50,22,170.3667
38,"W","01:24:26","02:50:23",2,50,23,170.3833
36,"M","01:25:35","02:50:24",2,50,24,170.4
32,"M","01:23:21","02:50:26",2,50,26,170.4333
43,"M","01:22:58","02:50:28",2,50,28,170.4667
38,"M","01:23:06","02:50:29",2,50,29,170.4833
27,"M","01:18:15","02:50:29",2,50,29,170.4833
42,"M","01:22:21","02:50:29",2,50,29,170.4833
48,"M","01:22:25","02:50:29",2,50,29,170.4833
23,"M","01:17:11","02:50:30",2,50,30,170.5
38,"M","01:25:20","02:50:32",2,50,32,170.5333
29,"M","01:23:43","02:50:32",2,50,32,170.5333
32,"M","01:18:56","02:50:36",2,50,36,170.6
29,"M","01:15:17","02:50:40",2,50,40,170.6667
40,"M","01:21:48","02:50:47",2,50,47,170.7833
49,"M","01:24:49","02:50:48",2,50,48,170.8
26,"M","01:23:01","02:50:50",2,50,50,170.8333
24,"M","01:20:40","02:50:53",2,50,53,170.8833
34,"W","01:24:13","02:50:53",2,50,53,170.8833
34,"M","01:19:47","02:50:55",2,50,55,170.9167
40,"M","01:25:17","02:50:57",2,50,57,170.95
30,"M","01:25:17","02:50:57",2,50,57,170.95
20,"M","01:21:48","02:50:57",2,50,57,170.95
27,"M","01:21:05","02:50:58",2,50,58,170.9667
38,"M","01:22:30","02:51:00",2,51,0,171
39,"M","01:21:50","02:51:01",2,51,1,171.0167
28,"M","01:20:33","02:51:01",2,51,1,171.0167
35,"M","01:20:24","02:51:01",2,51,1,171.0167
39,"M","01:23:38","02:51:01",2,51,1,171.0167
41,"M","01:23:35","02:51:03",2,51,3,171.05
41,"M","01:24:03","02:51:03",2,51,3,171.05
28,"M","01:24:34","02:51:05",2,51,5,171.0833
31,"M","01:23:54","02:51:08",2,51,8,171.1333
34,"M","01:17:57","02:51:10",2,51,10,171.1667
30,"M","01:22:13","02:51:11",2,51,11,171.1833
39,"M","01:24:31","02:51:15",2,51,15,171.25
26,"M","01:26:00","02:51:16",2,51,16,171.2667
41,"M","01:22:12","02:51:17",2,51,17,171.2833
40,"M","01:24:45","02:51:17",2,51,17,171.2833
27,"M","01:20:35","02:51:19",2,51,19,171.3167
37,"M","01:22:17","02:51:19",2,51,19,171.3167
38,"M","01:22:39","02:51:20",2,51,20,171.3333
39,"M","01:20:57","02:51:21",2,51,21,171.35
41,"W","01:24:18","02:51:25",2,51,25,171.4167
52,"M","01:23:09","02:51:26",2,51,26,171.4333
42,"M","01:25:35","02:51:27",2,51,27,171.45
36,"M","01:23:38","02:51:28",2,51,28,171.4667
31,"M","01:25:06","02:51:29",2,51,29,171.4833
42,"M","01:23:25","02:51:29",2,51,29,171.4833
28,"M","01:23:52","02:51:31",2,51,31,171.5167
41,"M","01:22:21","02:51:32",2,51,32,171.5333
42,"M","01:21:49","02:51:33",2,51,33,171.55
36,"W","01:22:16","02:51:34",2,51,34,171.5667
48,"M","01:23:37","02:51:35",2,51,35,171.5833
30,"M","01:22:43","02:51:38",2,51,38,171.6333
35,"M","01:23:52","02:51:38",2,51,38,171.6333
34,"M","01:22:44","02:51:40",2,51,40,171.6667
21,"M","01:23:34","02:51:41",2,51,41,171.6833
44,"M","01:19:33","02:51:41",2,51,41,171.6833
