test_score,family_income,enrolled,graduated_college,round_test_score
4.481232,-68290.47,1,1,4
-9.90559,191229.9,0,1,-10
-24.88094,333826.3,1,1,-25
-8.979599,389591.5,1,1,-9
-6.972801,-347096.4,0,1,-7
3.564056,518118.4,1,0,3
.7011261,-12770.45,1,1,0
-9.836857,557664.5,1,1,-10
-3.435989,407925.5,0,0,-4
-6.338135,233968.7,0,0,-7
-42.84772,197724.6,0,0,-43
-3.208351,549255.8,1,1,-4
4.563301,1281020,1,1,4
13.14323,-488108.3,1,1,13
-21.80056,373765.6,0,1,-22
23.50709,168727.3,1,0,23
-9.53891,129177.6,0,0,-10
-11.5353,237428.4,1,1,-12
13.55352,378659,1,1,13
6.570564,481068.7,1,0,6
23.04965,-113478.3,1,1,23
-5.306541,741948.9,0,0,-6
-8.434605,-65634.37,1,0,-9
-21.29377,6033.133,1,1,-22
-5.217552,55689.13,1,1,-6
9.552002,517417.3,1,0,9
-24.07895,85144.85,0,1,-25
2.639923,-97918.02,1,1,2
-13.06762,218985.7,1,1,-14
-25.03219,-82711.23,1,1,-26
-21.56043,-215196.5,0,0,-22
-20.25392,255239.9,0,1,-21
.4182434,637131,0,0,0
-17.85178,124844.5,0,0,-18
-.0855103,-167421.7,1,0,-1
-27.25624,698255.4,0,0,-28
1.227524,265523.9,1,1,1
3.89843,-103775,0,1,3
-7.637329,-83639.16,1,0,-8
-4.241966,-300527.6,0,0,-5
-26.74069,374094.8,0,0,-27
-8.776867,127120.1,1,0,-9
-26.25975,-178717.6,0,0,-27
3.190262,218807.5,1,0,3
-23.94007,574911.6,0,0,-24
-6.756065,-426828.8,0,1,-7
-23.20691,232330.5,1,1,-24
-20.56173,111641.6,1,0,-21
-5.392113,197053.6,0,0,-6
-15.26244,-70708.56,1,1,-16
3.481758,145931.5,1,1,3
-3.183868,621103.4,1,0,-4
-7.504456,-25864.98,0,0,-8
-3.455795,293340.6,1,1,-4
-8.843555,320252.7,0,0,-9
-5.88018,164047.8,0,0,-6
-29.29919,470881.5,0,1,-30
4.003212,726138.1,0,1,4
-7.350815,102471.5,0,1,-8
-1.171295,670705.6,1,0,-2
-2.177025,237896.8,0,1,-3
.0344543,387396.5,1,1,0
13.91516,-1570.112,1,1,13
9.232605,-266676.9,1,1,9
14.24582,850170.4,1,0,14
-6.621185,400849.7,1,0,-7
.5633774,524955.7,1,1,0
-2.379936,337845.3,0,0,-3
-28.38321,192935.5,0,1,-29
-21.7101,57356.13,0,1,-22
15.16392,386239.2,1,0,15
-13.11858,-257582.1,0,1,-14
-2.686951,13239.71,0,1,-3
6.687538,280938,1,1,6
11.40721,44330,1,1,11
-5.085419,176753.2,0,1,-6
6.112396,404413.3,1,1,6
-17.79131,257907.4,0,1,-18
-12.82709,-83420.05,1,1,-13
5.18821,435789.8,0,1,5
-.483139,290476.4,1,1,-1
-4.984612,129684.7,1,1,-5
7.515877,316825.1,1,1,7
-6.761116,-324108.5,0,1,-7
-8.072182,281879.4,0,1,-9
33.98079,53829.1,1,1,33
-3.27533,-82089.52,0,1,-4
-15.49529,276755.6,0,1,-16
-4.95343,-84244.67,1,1,-5
17.25731,26629.59,1,1,17
-3.673523,-448356.6,1,1,-4
-.3547363,-257488.5,0,1,-1
-12.53019,416409.1,0,1,-13
-22.55134,-31308.31,1,1,-23
-7.50631,-166554.5,1,1,-8
3.326698,69504.27,0,0,3
-8.299419,355827,0,0,-9
3.415367,-4095.36,1,1,3
-6.216133,389951.2,1,0,-7
-15.36752,-20983.96,0,0,-16
-4.897667,171022.3,0,0,-5
23.47505,342171.6,1,1,23
-20.42565,352333.3,1,1,-21
3.519867,152425.2,1,1,3
-11.207,441726.9,0,0,-12
9.457039,106928.5,1,0,9
29.56349,312736.3,1,0,29
-23.04803,154914.4,0,0,-24
-34.89581,798867.1,0,1,-35
16.94633,245993.6,1,1,16
-4.776131,164929.8,0,0,-5
-1.539848,428333.1,0,0,-2
15.61314,463097.1,1,1,15
21.97832,340027.7,1,1,21
2.150177,149628.9,0,1,2
8.311157,264679.8,1,1,8
-7.543365,204746.4,0,0,-8
2.864723,-101856.2,1,0,2
-18.31364,-305373.3,0,0,-19
-.7915192,-106249.7,1,0,-1
-5.188049,109010.4,0,0,-6
-12.63038,-3053.97,0,1,-13
-21.73407,400581.4,0,1,-22
-10.17225,254898.5,0,0,-11
22.31204,438473.7,1,1,22
-20.3077,293380.4,0,0,-21
-5.5774,168723.1,0,1,-6
-32.45216,558891.1,1,1,-33
-28.97926,-208389,0,1,-29
-13.34046,48224.94,0,0,-14
-30.3861,446911.6,0,0,-31
-10.64845,176525.2,0,1,-11
21.15698,330343,1,1,21
-3.039902,620689.9,0,0,-4
-1.672287,322068.8,1,1,-2
-19.24333,-43510.18,0,1,-20
-2.550407,253627.8,0,1,-3
12.19801,606800.7,1,1,12
-18.73489,177145.6,1,0,-19
-25.5378,359125.2,0,1,-26
11.33511,78704.91,1,1,11
-4.127808,8274.32,1,1,-5
-17.86223,-33317.11,0,0,-18
-4.036232,136717.4,1,0,-5
.9154739,-47018.39,1,1,0
-8.364948,582053.7,1,0,-9
-34.41639,120671.2,0,1,-35
-9.248299,301468.6,1,1,-10
23.55373,216812.2,1,1,23
1.818298,296477.9,1,1,1
-13.84994,383225.4,1,1,-14
-34.07925,282247.8,0,0,-35
-16.18173,43995.89,1,0,-17
-40.93012,414444.8,0,1,-41
18.15334,374826.1,1,1,18
-9.726139,-523276.8,1,1,-10
-11.82852,442371.3,0,0,-12
-24.57741,-58815.5,0,1,-25
-13.9064,130829.1,0,0,-14
-6.512985,-401513.2,0,1,-7
-6.658028,-254239.8,1,1,-7
28.00098,89342.73,1,1,28
-15.51174,-175822.3,0,0,-16
12.71762,475588.8,1,0,12
12.49984,480225.5,1,0,12
-5.9188,-282482.5,1,1,-6
-12.89993,82376.14,0,1,-13
-9.213055,126029.6,0,1,-10
-21.27215,201817.3,0,1,-22
9.568687,427240.3,1,1,9
-17.16473,142817.1,0,0,-18
-12.87534,320289.5,0,1,-13
-15.50006,95077.11,0,1,-16
-30.53075,-148371.1,0,0,-31
24.90146,300239.8,1,1,24
-29.24127,-1632.169,0,0,-30
-5.134132,204855.3,0,1,-6
-23.26645,357340.6,0,1,-24
-10.36491,241447.8,0,1,-11
10.05306,167941.2,1,0,10
-5.732689,-58329.62,0,1,-6
-25.48093,229867.4,0,0,-26
-9.298801,74192.23,0,1,-10
-5.760811,-75098.5,1,1,-6
.9681778,161348.2,1,0,0
-5.030151,281608.5,0,0,-6
-12.75485,-103780.5,0,0,-13
-2.333801,99525.91,0,0,-3
-17.52829,293168,0,0,-18
-7.465424,-4303.215,1,0,-8
7.517471,244879.2,1,0,7
8.187393,-57513.25,1,0,8
21.19592,719923.9,1,1,21
22.09251,1130697,1,1,22
-5.603607,386332.9,0,1,-6
-9.40057,45153.05,0,1,-10
-17.51458,-235825.2,1,1,-18
1.858864,33617.97,1,1,1
-4.313766,535808.5,0,0,-5
8.959724,-115419.4,1,1,8
-7.019569,674604.3,0,1,-8
17.93319,494129.3,1,0,17
-4.740089,655627.5,1,1,-5
-4.06208,154522.5,1,1,-5
12.16642,792105.9,1,1,12
-18.05203,230275.3,0,1,-19
-6.058746,-138074.3,1,0,-7
-8.729652,704499.9,1,1,-9
-9.325603,-156682.6,0,0,-10
-15.59743,299548.2,0,0,-16
17.4425,178212.8,1,1,17
-39.40819,173232.1,0,1,-40
-15.48855,87171.42,1,1,-16
-14.48846,373655.3,0,0,-15
-7.838226,10337.47,1,1,-8
.1894073,202245.8,0,1,0
19.33755,536784.1,1,1,19
-17.69689,166252.5,1,1,-18
-15.70511,-671778.9,0,0,-16
2.861336,-331517.4,0,1,2
-16.68552,-92413.72,1,1,-17
9.038223,122467.9,1,1,9
-17.62824,337783.3,0,1,-18
-26.79979,578797.5,0,1,-27
-6.924347,-289550,0,1,-7
-31.79667,-32628.69,0,0,-32
-8.985428,200327,1,0,-9
-16.90467,-122296.2,0,1,-17
-2.342552,523945.1,0,1,-3
-3.745934,699628.1,0,1,-4
-26.372,-278508,0,0,-27
-8.169353,-80588.55,1,1,-9
16.06293,202678.1,1,1,16
13.30811,574708.4,1,1,13
7.143715,639342.8,1,0,7
13.17417,230388,1,1,13
15.07012,370539.9,1,0,15
-19.35906,-180256,0,0,-20
-27.42329,-11841.87,0,1,-28
16.54099,-321099.4,1,1,16
-13.6397,593389.4,0,1,-14
8.91436,-65347.85,1,1,8
-4.371078,16793.05,0,1,-5
13.62994,-183745.5,1,1,13
3.590157,612126.6,1,1,3
32.39159,216631.7,1,0,32
-3.488121,364691.8,1,1,-4
-4.544922,592892.9,0,0,-5
-10.66459,-78464.12,0,1,-11
-25.23154,-180668.5,0,1,-26
5.928085,114041.5,0,0,5
-15.01564,334040.6,0,1,-16
-2.710014,289976.1,0,1,-3
-43.93483,10136.33,0,1,-44
-21.97211,-81662.41,1,0,-22
-21.13238,603320.8,0,1,-22
-18.19381,-201491.7,0,0,-19
1.799225,309042.6,1,1,1
7.579353,118227,1,1,7
-18.7239,562529.3,0,1,-19
-8.021465,-8610.618,1,1,-9
11.90507,290264,1,1,11
1.053543,252750.2,1,1,1
-3.256859,555930.9,0,0,-4
3.165085,618004.3,1,0,3
6.985489,144664.5,1,0,6
4.472237,353362.4,0,0,4
-.0086823,9801.055,0,1,-1
-32.95987,276984.8,0,1,-33
-41.70121,-81378.91,0,1,-42
-11.30495,46489.93,0,1,-12
-6.577858,-448588,0,1,-7
-26.90079,-374233.2,0,1,-27
-18.96165,142743.3,1,1,-19
-10.5075,351551.9,0,0,-11
-2.347626,405967.1,0,1,-3
-10.09354,321145,1,1,-11
-7.55825,-53056.02,0,1,-8
-4.578758,572095.2,0,1,-5
-9.555424,95245.06,1,1,-10
-5.673279,291917.5,1,1,-6
-2.674385,212149.8,0,1,-3
6.840019,664375.9,0,0,6
-4.580124,465361.2,1,1,-5
19.85612,599121.1,1,1,19
-18.17188,226419.3,0,0,-19
9.971642,-24862.48,1,1,9
12.25911,-365377,1,1,12
17.14891,409305.5,1,1,17
-6.147812,-415145.2,1,1,-7
-33.15727,407693,0,0,-34
-13.53083,322388,1,1,-14
22.45908,400357.9,1,0,22
-33.28589,530892.3,1,1,-34
8.366547,42508.2,1,1,8
-15.76462,505989.3,0,1,-16
-4.81282,115630.8,0,0,-5
1.583885,288739.1,1,0,1
-7.419975,241941.8,0,1,-8
-23.49153,-274998.5,0,1,-24
-8.795479,584048.3,0,1,-9
27.19337,305084.9,1,1,27
-4.695694,-87615.81,1,1,-5
8.612518,85293.22,0,1,8
-23.03157,425162.1,0,0,-24
-.489418,421721.2,1,1,-1
-20.42062,3645.457,0,0,-21
-19.01875,381878.8,0,1,-20
-8.184471,114572.6,0,0,-9
5.469856,-428250.7,1,1,5
18.784,-139372.8,1,1,18
-31.16918,-474530.7,0,1,-32
-7.707466,641883.6,0,0,-8
-17.21516,422868.3,0,0,-18
-19.95854,-6786.569,0,1,-20
-15.62366,288450.3,0,1,-16
6.988289,368238.1,1,1,6
-29.02594,55221.95,0,0,-30
-26.73718,62315.7,1,1,-27
-13.40971,119327.3,0,0,-14
-.2479095,734411.2,0,1,-1
9.0765,364106.8,1,1,9
-8.468555,-173434.9,0,1,-9
-36.42772,-82200.98,0,1,-37
5.797653,723240.1,1,0,5
6.987129,268006.2,0,1,6
-27.40358,326498.1,0,1,-28
13.44799,160272.8,1,1,13
-11.93271,-555387.6,0,0,-12
10.14203,55729.41,1,1,10
-32.12195,168730,0,0,-33
-7.756935,-240470.3,1,1,-8
2.245316,116608.1,0,0,2
-22.49134,93340.3,0,1,-23
3.583847,178476.9,0,0,3
-10.14973,153139.2,0,0,-11
-6.228653,52167.03,1,1,-7
.66996,151074.8,0,1,0
7.790123,-625873.7,0,0,7
-2.88633,644428.8,0,1,-3
12.81104,217011.3,1,1,12
-14.15356,-427261.6,0,1,-15
-18.23695,-799579.9,1,1,-19
-1.666061,667887.2,1,1,-2
-11.19203,143042,1,1,-12
1.49157,282848.2,1,0,1
-1.901611,-50641.66,1,1,-2
-4.315399,-142761.6,0,1,-5
-18.01601,409164.2,0,1,-19
3.49337,-24245.78,1,1,3
-15.47651,156608.6,0,1,-16
-3.869713,365978.2,0,1,-4
-3.012375,121685.1,0,1,-4
-12.71065,-106502.8,1,0,-13
14.04758,-178381.9,1,0,14
-17.99612,219342,0,0,-18
-17.19674,-133309.7,0,0,-18
.4239655,2065.064,1,1,0
-11.79048,-299734.8,1,1,-12
-20.59605,609017.5,0,1,-21
5.784164,117387.6,1,1,5
-9.774147,35103.32,0,1,-10
-31.71205,349812,0,1,-32
-33.30405,-132058.3,0,1,-34
-19.14812,162633.8,0,0,-20
-11.74311,152621.2,1,1,-12
1.021072,409150.5,1,1,1
-18.74518,164688.1,0,0,-19
-16.76117,563367.1,0,1,-17
-23.47155,281200.6,0,0,-24
-5.076286,169204.3,1,1,-6
-28.56514,657068.8,0,1,-29
1.899467,533556.6,1,1,1
.5258102,59758.13,0,1,0
-22.3457,339617.3,1,1,-23
-2.264404,-63474.45,0,1,-3
9.912758,64792.66,1,1,9
-3.118439,307503.6,0,0,-4
-20.66851,-80776.16,0,0,-21
-24.18815,-354106.2,0,1,-25
8.954872,220069.3,1,1,8
-25.7311,47983.88,0,1,-26
-20.43843,-97203.96,0,1,-21
-25.23635,69577.82,0,0,-26
-18.67317,-7134.41,0,0,-19
-29.02709,62269.2,0,0,-30
-20.00159,168914.4,0,1,-21
-20.07259,-309419.6,0,0,-21
-22.00051,-387131.6,0,1,-23
-13.37436,-133980.6,1,1,-14
12.57953,262926.8,1,1,12
-23.97873,-267254.1,0,0,-24
-16.69556,595864.3,0,0,-17
-32.63298,202866.8,1,1,-33
2.878853,254056.6,1,1,2
-33.21058,657141.5,0,0,-34
-15.16164,125793.2,0,1,-16
-.9778519,-146441.4,0,0,-1
-20.89896,-427870,1,1,-21
-23.22956,357928.9,1,0,-24
-24.96569,100449.8,0,1,-25
13.67288,75016.8,1,1,13
-18.35325,310368.3,0,0,-19
-7.458511,86419.67,1,0,-8
4.954659,4206.158,1,1,4
-7.072021,-201207.7,0,0,-8
-11.55236,559354.7,1,1,-12
-26.37833,535733.4,0,0,-27
-3.115738,-72064.54,1,0,-4
-12.56295,397027.8,0,1,-13
5.671097,410414,1,1,5
-3.335182,426333.7,0,1,-4
2.226791,449143.5,1,1,2
1.396309,609358.4,1,1,1
-4.668312,-141226.5,0,0,-5
3.067276,237053.9,1,1,3
.1981506,382259.9,1,0,0
13.03634,119176.1,1,1,13
37.11726,305966.4,1,1,37
-13.73037,46935.55,0,0,-14
-29.04191,378567.7,0,1,-30
14.73666,544358.6,1,1,14
-41.36015,34971.65,0,0,-42
11.27758,376389.4,0,0,11
-9.992031,340752.7,0,0,-10
-6.239578,-44036.09,0,0,-7
-6.729057,87340.66,1,0,-7
25.97509,266883.5,1,1,25
24.89326,150160.8,1,1,24
12.85146,178841.7,1,1,12
25.9955,88729.55,1,1,25
-25.8137,263465.1,0,0,-26
-26.44837,769800.4,0,0,-27
-23.63815,-7054.84,1,1,-24
-2.967331,53365.97,1,1,-3
-18.35446,-39292.94,0,1,-19
-1.398781,239517.8,0,0,-2
3.16494,-24633.02,1,0,3
-.1679611,193389.6,1,1,-1
-11.49627,-175456.6,1,1,-12
13.20025,513196.6,1,1,13
-25.44219,204025,0,1,-26
1.787575,234996.2,0,1,1
-17.01284,-11381.16,0,1,-18
-6.666092,-124989.2,0,1,-7
15.94577,513018.3,1,0,15
2.691566,137891.5,0,1,2
-13.45298,-191804.2,1,1,-14
-3.063766,-39981.35,0,1,-4
-15.91532,417986.1,0,1,-16
-21.98697,-238258,1,0,-22
25.47461,397889.9,1,1,25
-2.804642,189665.6,1,1,-3
-21.20687,-409066.3,0,0,-22
-12.13966,285376.7,0,1,-13
-25.57547,82738.8,1,1,-26
22.96579,401122.3,1,1,22
4.151749,83792.51,0,1,4
-30.753,-352138.3,0,1,-31
13.41221,268981,1,1,13
2.810989,355816.6,1,1,2
-3.083778,-128504.7,0,1,-4
-6.43425,349660.6,1,0,-7
6.615448,255071.1,1,0,6
-41.36632,-165813.1,0,1,-42
7.593231,27538.52,1,1,7
-2.342506,497163.6,0,1,-3
-9.833878,-275145.8,1,1,-10
-25.39152,139736.6,0,0,-26
6.672401,-64900.13,1,1,6
-36.49952,153985.3,1,1,-37
-27.38188,-87843.31,0,0,-28
-5.888893,45772.42,0,0,-6
3.765709,343838.5,1,1,3
-27.44147,245697.6,0,0,-28
-23.96078,431487.6,0,0,-24
3.073547,81596.4,1,1,3
-25.348,-192934.8,0,0,-26
13.28025,466231.3,1,0,13
-17.66963,144122.3,0,0,-18
-5.943863,248989.4,1,0,-6
-22.41069,200456.2,0,1,-23
-20.19757,234385,1,0,-21
1.864761,135824.4,1,0,1
-7.069298,359398.2,1,1,-8
-4.15937,234977,0,1,-5
10.29694,423739.4,1,1,10
-36.0386,-454971,0,0,-37
-12.35802,-327921.6,1,1,-13
-9.647957,-48343.23,0,0,-10
-35.28114,4835.531,0,0,-36
14.71029,197380.7,1,0,14
-25.10851,-112316.3,1,1,-26
-27.41458,313708.1,0,1,-28
-11.6304,57297.2,1,1,-12
-21.6597,-34371.9,0,1,-22
-28.19199,-49192.48,0,0,-29
-19.90766,289309.5,0,0,-20
10.83407,261337.6,1,1,10
-23.84167,-264965.2,0,1,-24
-25.63207,145777.3,0,1,-26
2.637215,432328.3,1,0,2
-14.56032,103095.6,1,0,-15
10.23888,69562.73,1,1,10
-16.42106,-102110.5,0,0,-17
-38.94925,16402.47,0,1,-39
-3.641609,387449.2,0,0,-4
-4.461418,146305.2,0,1,-5
-1.118294,585098.1,1,1,-2
-5.900955,155468.5,1,1,-6
-6.841911,130778.7,0,1,-7
-32.23654,-602437.7,0,0,-33
-35.81718,-359253.1,0,1,-36
-7.387619,502980.3,1,1,-8
28.44202,200779.5,1,1,28
4.079834,67666.24,0,0,4
-19.08837,577484.1,0,0,-20
-33.74369,1045525,0,0,-34
-26.39397,-337905.2,0,0,-27
-1.543343,-265359.1,0,1,-2
9.386353,725349.6,1,1,9
-.6455307,491705.2,1,0,-1
9.171829,656081.4,1,1,9
-12.5973,379706.5,0,0,-13
27.46626,-52620.89,1,1,27
-5.226685,-7749.042,1,1,-6
12.55376,83601.46,1,1,12
-14.63839,251456.9,1,1,-15
-7.964615,371281.8,1,0,-8
.3541946,105471,1,1,0
2.598656,-304393.1,1,1,2
-9.506596,-4302.987,1,0,-10
7.504196,-116166.9,1,1,7
-1.406616,309601.2,1,1,-2
-31.49442,42563.21,0,1,-32
7.767197,498994.9,1,1,7
-4.613426,-527763.6,0,0,-5
7.995148,494482.5,0,0,7
-5.439957,162328.9,0,1,-6
-17.8509,657523.1,0,0,-18
-5.877182,222330.8,0,0,-6
-25.43061,250073.4,0,0,-26
-.8856201,287037.2,1,0,-1
23.61331,231146.6,1,1,23
-9.112938,44846.55,0,1,-10
-8.001793,384087,1,1,-9
13.70489,227730.1,1,0,13
-10.28752,243552.6,1,0,-11
-16.03115,-279451.3,0,1,-17
-.4680786,388685.7,1,1,-1
-10.05291,291091.3,0,1,-11
13.2384,78163.05,1,1,13
10.02587,-251453.1,1,1,10
-15.77626,-333890.8,1,0,-16
-15.19484,-390355.7,0,0,-16
-8.590958,-20.47296,1,1,-9
-19.71601,554642.8,1,1,-20
-9.181946,394133.8,0,1,-10
-4.092987,7219.105,1,1,-5
19.64895,318797.4,1,0,19
-11.93136,259304.8,0,0,-12
-10.12629,-61624.11,0,0,-11
-34.95053,-268989.3,0,0,-35
-30.83319,181379.9,0,1,-31
-24.16413,41792.12,0,0,-25
-9.769287,276836,0,1,-10
4.146667,-22150.18,0,0,4
-8.320236,102992.4,0,0,-9
3.605759,115641.6,1,1,3
20.48331,-442009.1,1,1,20
-3.640152,324856.5,0,0,-4
-11.56954,321972.4,0,1,-12
-5.273697,-200420.6,0,1,-6
-6.000748,314825.5,1,1,-7
-29.78826,99390.15,0,1,-30
-11.40574,452179.8,0,0,-12
-21.28848,-19550.09,0,0,-22
.1601944,110566.4,1,1,0
-15.71131,296021.5,1,1,-16
-9.470192,5543.663,0,0,-10
.1387634,63103.38,1,1,0
7.920135,193079,1,1,7
-3.692429,160773.4,0,1,-4
-1.49276,494832.3,0,1,-2
9.09568,161955.1,1,1,9
-27.75621,-99611.39,0,0,-28
-8.414547,-183821.8,1,1,-9
13.07635,-61816.35,0,0,13
-15.02523,-79370.12,1,1,-16
2.210594,44423.59,1,1,2
-1.368294,461003.3,0,1,-2
-9.714638,420950,1,1,-10
3.897598,594096.9,1,0,3
-20.19969,608525.9,0,0,-21
6.946312,157476.2,1,1,6
-19.8395,78491.96,0,1,-20
-17.46059,-18980.55,0,1,-18
23.19905,467774.4,1,1,23
-12.37364,515024.8,0,0,-13
-.3904572,870130.3,0,0,-1
8.887245,244950.3,1,1,8
-30.12136,-170440.5,0,1,-31
7.918831,507857.7,1,1,7
-13.03942,469424.8,1,1,-14
7.743057,20822.4,1,1,7
-5.5709,35693.17,0,0,-6
-40.91163,-439147.2,0,1,-41
-4.882141,149479,0,0,-5
1.673561,441632.2,1,1,1
-26.52105,3850.723,0,1,-27
-17.47045,-122160.1,0,1,-18
-.7757721,-100679.3,0,1,-1
.9730453,450515,1,1,0
-13.14482,257515.2,0,1,-14
-7.65432,72997.14,0,1,-8
.9521255,182642.2,1,1,0
-5.919746,-115109.7,0,0,-6
-24.58374,295332.3,0,1,-25
-28.92006,131229,0,1,-29
-7.443268,360322.2,1,0,-8
9.44561,70106.59,1,1,9
-1.310051,172933.2,0,1,-2
-25.22572,-378684.4,0,0,-26
-8.645821,268019.4,0,1,-9
23.68097,413455.6,1,1,23
-1.222832,202490.8,0,0,-2
-47.4449,-173962.8,0,1,-48
-4.828735,459916.7,0,0,-5
-17.399,-117774.2,0,1,-18
.9301682,-149114.1,1,0,0
-4.289902,13620.9,0,0,-5
2.665039,-144926.6,1,1,2
-17.2809,-126526.7,0,1,-18
-29.94165,-747638.1,1,1,-30
